ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _wpcom_is_markdown
116,simple,celebration-cupcakes,,Celebration Cupcakes,1,0,visible,"Colorful, frosted treats that make every day a party.","Whimsical and sweet, these frosted cupcakes are topped with colorful sprinkles and party-ready cheer. Perfect for birthdays or any little celebration.",,,taxable,,1,,,0,0,,,,,1,,9.5,12,Bakery > Cakes & Cupcakes,"celebration, cupcakes, dessert, frosted, party treats",,https://cdn.madrasthemes.com/groceria/images/products/celebration-cupcakes.webp,,,,,,,,,0,,Size,"4 pcs, 6 pcs, 12 pcs",0,0,Nutriscore,E,0,0,
147,simple,oatmeal-raisin-cookies,,Oatmeal Raisin Cookies,1,0,visible,"Soft, chewy, and packed with hearty oats and sweet raisins.","Soft, chewy, and warmly spiced, these cookies blend hearty oats and plump raisins. A comforting, classic treat with home-baked charm.",,,taxable,,1,,,0,0,,,,,1,,5.95,7.5,Bakery > Cookies,"chewy, classic snack, cookies, oatmeal, raisin",,https://cdn.madrasthemes.com/groceria/images/products/oatmeal-raisin-cookies.webp,,,,,,,,,0,,Size,"6 pcs, 12 pcs, 24 pcs",0,0,Nutriscore,D,0,0,
148,simple,seven-layer-cake,,Seven Layer Cake,1,0,visible,"A decadent dessert stacked with rich, indulgent layers.","A showstopping dessert stacked high with rich layers of cake, cream, and chocolate. Every slice is a blend of textures and indulgence.",,,taxable,,1,,,0,0,,,,,1,,13.75,16.95,Bakery > Cakes & Cupcakes,"bakery, cake, chocolate, dessert, layered",,https://cdn.madrasthemes.com/groceria/images/products/seven-layer-cake.webp,,,,,,,,,0,,Size,"250g slice, 500g, 1kg",0,0,Nutriscore,E,0,0,
149,simple,local-bunched-spinach,,Local Bunched Spinach,1,0,visible,"Fresh-picked leafy greens, rich in flavor and nutrients.","Hand-harvested from nearby farms, this spinach is tender, vibrant, and nutrient-dense. Ideal for fresh salads or quick sautés.",,,taxable,,1,,,0,0,,,,,1,,2.5,3.5,Produce > Leafy Greens,"fresh, iron-rich, leafy greens, local produce, spinach",,https://cdn.madrasthemes.com/groceria/images/products/local-bunched-spinach.webp,,,,,,,,,0,,Size,"100g, 250g, bunch",0,0,Nutriscore,A,0,0,
150,simple,organic-valley-half-and-half,,Organic Valley Half & Half,1,0,visible,Creamy and smooth — perfect for coffee or cooking.,"A creamy, luxurious blend of organic milk and cream. Whether enriching coffee or elevating recipes, it brings farm-fresh richness to your kitchen.",,,taxable,,1,,,0,0,,,,,1,,3.75,4.95,Dairy > Cream,"creamer, dairy, half & half, milk blend, organic",,https://cdn.madrasthemes.com/groceria/images/products/organic-valley-half-and-half.webp,,,,,,,,,0,,Size,"250ml, 500ml, 1L",0,0,Nutriscore,C,0,0,
151,simple,boneless-skinless-chicken-breast,,Boneless Skinless Chicken Breast,1,0,visible,"Lean, tender chicken — ideal for grilling, baking, or pan-frying.","Lean, tender, and ready to cook — these chicken breasts are a healthy protein choice for grilling, stir-frying, or oven-roasting.",,,taxable,,1,,,0,0,,,,,1,,9.25,11.5,Meat & Seafood > Poultry,"boneless, chicken breast, fresh meat, lean protein",,https://cdn.madrasthemes.com/groceria/images/products/boneless-skinless-chicken-breast.webp,,,,,,,,,0,,Size,"500g, 1kg, 1.5kg",0,0,Nutriscore,A,0,0,
152,simple,simply-low-fat-cottage-cheese,,Simply Low-Fat Cottage Cheese,1,0,visible,"Light, creamy, and packed with protein.","Creamy, satisfying, and full of protein — this low-fat cottage cheese offers a smooth texture with a hint of tang. Great as a snack or topping.",,,taxable,,1,,,0,0,,,,,1,,3.99,5.25,Dairy > Cheese & Yogurt,"cottage cheese, creamy, dairy, low fat, snack",,https://cdn.madrasthemes.com/groceria/images/products/simply-low-fat-cottage-cheese.webp,,,,,,,,,0,,Size,"200g, 400g, 800g",0,0,Nutriscore,B,0,0,
153,simple,unsweetened-plastic-bottle,,"Unsweetened, Plastic Bottle",1,0,visible,"Pure and clean refreshment — no sugar, no fuss.","Clean hydration in a convenient bottle — this unsweetened drink is free from sugars and additives, offering pure refreshment on the go. (Assumed to be water or tea.)",,,taxable,,1,,,0,0,,,,,1,,2.95,3.95,Beverages,"beverage, bottled, natural, no sugar, unsweetened drink",,https://cdn.madrasthemes.com/groceria/images/products/unsweetened-plastic-bottle.webp,,,,,,,,,0,,Size,"500ml, 1L, 2L",0,0,Nutriscore,A,0,0,
154,simple,raos-homemade-marinara-sauce,,Rao'sHomemade Marinara Sauce,1,0,visible,"Slow-simmered, classic Italian flavor in every spoonful.","Crafted from slow-simmered tomatoes, olive oil, garlic, and herbs, Rao’s brings old-world Italian flavor straight to your table. No shortcuts, just tradition.",,,taxable,,1,,,0,0,,,,,1,,7.25,9.5,Grocery > Pasta & Sauces,"italian, jarred, marinara, pasta sauce, tomato",,https://cdn.madrasthemes.com/groceria/images/products/raos-homemade-marinara-sauce.webp,,,,,,,,,0,,Size,"350g, 500g, 1kg",0,0,Nutriscore,B,0,0,
155,simple,organic-whole-milk,,Organic Whole Milk,1,0,visible,"Rich, creamy, and wholesome — straight from organic farms.","Full-bodied and velvety, this organic whole milk delivers farm-fresh creaminess with every pour. Ideal for cereals, baking, or enjoying by the glass.",,,taxable,,1,,,0,0,,,,,1,,4.25,5.25,Dairy > Milk,"calcium-rich, dairy, milk, organic, whole milk",,https://cdn.madrasthemes.com/groceria/images/products/organic-whole-milk.webp,,,,,,,,,0,,Size,"500ml, 1L, 2L",0,0,Nutriscore,B,0,0,
156,simple,armenian-cucumber,,Armenian Cucumber,1,0,visible,Crisp and mild with a refreshing crunch — perfect for salads and snacking.,"Long, ridged, and refreshingly mild, Armenian cucumbers are delightfully crisp with a hint of melon-like sweetness. Perfect raw or pickled.",,,taxable,,1,,,0,0,,,,,1,,2.25,2.95,Produce > Vegetables,"armenian, crunchy, cucumber, fresh produce, salad",,https://cdn.madrasthemes.com/groceria/images/products/armenian-cucumber.webp,,,,,,,,,0,,Size,"1 pc, 2 pcs, 4 pcs",0,0,Nutriscore,A,0,0,
157,simple,fage-creamy-dreamy-banana-cream,,"Fage Creamy Dreamy, Banana Cream",1,0,visible,Thick Greek yogurt with rich banana cream indulgence.,Ultra-thick Greek yogurt layered with luscious banana cream. A dreamy treat that balances rich indulgence with wholesome satisfaction.,,,taxable,,1,,,0,0,,,,,1,,5,6.5,Dairy > Yogurt,"banana flavor, creamy, dairy snack, dessert-style, yogurt",,https://cdn.madrasthemes.com/groceria/images/products/fage-creamy-dreamy-banana-cream.webp,,,,,,,,,0,,Size,"150g, 200g, 400g",0,0,Nutriscore,B,0,0,
158,simple,green-cauliflower,,Green Cauliflower,1,0,visible,"A colorful twist on a classic veggie — mild, crisp, and great for roasting.","A vibrant, naturally colorful twist on traditional cauliflower. Its sweet, mild flavor makes it perfect for roasting or vibrant veggie platters.",,,taxable,,1,,,0,0,,,,,1,,4.75,6.25,Produce > Vegetables,"cauliflower, cruciferous, green, unique variety, vegetables",,https://cdn.madrasthemes.com/groceria/images/products/green-cauliflower.webp,,,,,,,,,0,,Size,"1 pc, 2 pcs, florets 300g",0,0,Nutriscore,A,0,0,
159,simple,cherry-tomato,,Cherry tomato,1,0,visible,"Bite-sized bursts of juicy, tangy flavor — salad-ready.","Tiny, vibrant, and bursting with sweetness, cherry tomatoes are a kitchen favorite — snackable raw or roasted to bring out their natural sugars.",,,taxable,,1,,,0,0,,,,,1,,3.25,4.25,Produce > Vegetables,"bite-size, cherry tomatoes, salad-ready, sweet, tomato",,https://cdn.madrasthemes.com/groceria/images/products/cherry-tomato.webp,,,,,,,,,0,,Size,"200g, 400g, 600g",0,0,Nutriscore,A,0,0,
160,simple,stalk-celery,,Stalk Celery,1,0,visible,"Crunchy, hydrating, and perfect for snacks, soups, or juice.","Crisp and hydrating with a clean, peppery snap. Celery stalks are ideal for snacking, juicing, or adding crunch to soups and stews.",,,taxable,,1,,,0,0,,,,,1,,2.95,3.75,Produce > Vegetables,"celery, crunchy, dipping snack, fresh, stalk",,https://cdn.madrasthemes.com/groceria/images/products/stalk-celery.webp,,,,,,,,,0,,Size,"1 stalk, 2 stalks, 4 stalks",0,0,Nutriscore,A,0,0,
161,simple,cape-cod-potato-chips,,Cape Cod Potato Chips,1,0,visible,"Kettle-cooked crunch with bold, classic flavor.","Hand-cooked in small batches for an extra-crunchy bite, Cape Cod Chips bring a satisfying saltiness and rustic texture that chip lovers crave. Perfectly crisp and deeply golden.",,,taxable,,1,,,0,0,,,,,1,,3.75,4.99,Snacks > Chips,"chips, classic, crispy, kettle-cooked, salty snack",,https://cdn.madrasthemes.com/groceria/images/products/cape-cod-potato-chips.webp,,,,,,,,,0,,Size,"40g, 100g, 200g",0,0,Nutriscore,C,0,0,
162,simple,skinny-pop-popcorn,,Skinny Pop Popcorn,1,0,visible,"Light, airy popcorn with simple, clean ingredients.","Light, airy, and deliciously clean — Skinny Pop is made with just popcorn, oil, and salt. A guilt-free snack you’ll keep reaching for. No artificial anything.",,,taxable,,1,,,0,0,,,,,1,,4.25,5.5,Snacks > Popcorn,"crunchy, gluten-free, healthy snack, low calorie, popcorn",,https://cdn.madrasthemes.com/groceria/images/products/skinny-pop-popcorn.webp,,,,,,,,,0,,Size,"28g, 100g, 200g",0,0,Nutriscore,B,0,0,
163,simple,lesser-evil-popcorn,,Lesser Evil Popcorn,1,0,visible,"Delicious, air-popped organic popcorn made with clean, simple ingredients. Gluten-free, non-GMO, and perfectly seasoned for a guilt-free snack.
Packed with wholesome flavor, it’s the smarter way to satisfy your cravings anytime.Available in a variety of fun flavors the whole family will love.","Delicious, air-popped organic popcorn made with clean, simple ingredients. Gluten-free, non-GMO, and perfectly seasoned for a guilt-free snack.Packed with wholesome flavor, it’s the smarter way to satisfy your cravings anytime.Available in a variety of fun flavors the whole family will love.Made with organic coconut oil and Himalayan pink salt for a healthier crunch.A light, crunchy snack you can enjoy at home, work, or on the go.",,,taxable,,1,,,0,0,,,,,1,,,4.5,Snacks > Popcorn,"coconut oil, light snack, non-GMO, organic, popcorn",,https://cdn.madrasthemes.com/groceria/images/products/lesser-evil-popcorn.webp,,,,,,,,,0,,Size,"30g, 100g, 150g",0,0,Nutriscore,B,0,0,
164,simple,hampton-farms,,Hampton Farms,1,0,visible,"Fresh, flavorful peanuts — perfect for snacking or game nights.","Fresh-roasted peanuts straight from the shell — rich, nutty, and perfectly salted. A classic American snack packed with flavor and crunch.",,,taxable,,1,,,0,0,,,,,1,,5.75,7.25,Grocery > Nuts & Seeds,"nuts, peanuts, protein-rich, roasted, snack",,https://cdn.madrasthemes.com/groceria/images/products/hampton-farms.webp,,,,,,,,,0,,Size,"250g, 500g, 1kg",0,0,Nutriscore,B,0,0,
165,simple,pistachios,,Pistachios,1,0,visible,"Nutty, protein-packed snack in a satisfying shell.","Naturally vibrant and full of buttery flavor, pistachios make a nutritious snack or topping. Crack open the shell and enjoy the crunch of pure green goodness.",,,taxable,,1,,,0,0,,,,,1,,7.75,9.95,Grocery > Nuts & Seeds,"healthy snack, nuts, pistachios, roasted, shelled",,https://cdn.madrasthemes.com/groceria/images/products/pistachios.webp,,,,,,,,,0,,Size,"200g, 400g, 800g",0,0,Nutriscore,B,0,0,
166,simple,organic-mangoes,,Organic Mangoes,1,0,visible,"Lusciously sweet, sun-ripened, and certified organic.","Lush, juicy, and sun-ripened — these organic mangoes burst with tropical sweetness. Slice them for smoothies, salads, or pure fruit joy.",,,taxable,,1,,,0,0,,,,,1,,3.75,4.99,Produce > Fruits,"juicy, mangoes, organic fruit, ripe, tropical",,https://cdn.madrasthemes.com/groceria/images/products/organic-mangoes.webp,,,,,,,,,0,,Size,"1 pc, 2 pcs, 4 pcs",0,0,Nutriscore,A,0,0,
167,simple,brioche-crescent,,Brioche crescent,1,0,visible,"Buttery, soft, and flaky rolls — a French bakery classic.","Buttery, golden, and slightly sweet, brioche crescents are soft, pillowy pastries perfect for breakfast spreads or elegant brunches.",,,taxable,,1,,,0,0,,,,,1,,4.99,6.5,Bakery > Pastries,"brioche, buttery, crescent roll, pastry, soft bread",,https://cdn.madrasthemes.com/groceria/images/products/brioche-crescent.webp,,,,,,,,,0,,Size,"2 pcs, 4 pcs, 6 pcs",0,0,Nutriscore,C,0,0,
168,simple,chobani-greek-yogurt,,Chobani Greek yogurt,1,0,visible,Rich and creamy yogurt made with real fruit and live cultures.,"Thick, creamy, and crafted with live cultures, Chobani yogurt delivers rich flavor and protein in every spoonful — real fruit, no nonsense.",,,taxable,,1,,,0,0,,,,,1,,4.75,6.25,Dairy > Yogurt,"chobani, creamy, greek yogurt, high protein, yogurt",,https://cdn.madrasthemes.com/groceria/images/products/chobani-greek-yogurt.webp,,,,,,,,,0,,Size,"150g, 200g, 400g",0,0,Nutriscore,B,0,0,
169,simple,lemon-myrtle,,Lemon Myrtle,1,0,visible,A zesty Australian herb — adds citrusy aroma and flavor to teas or dishes.,"Native to Australia, this citrusy herb brings bright, lemon-lime notes to teas, desserts, and seasoning blends. Fragrant and refreshingly zesty.",,,taxable,,1,,,0,0,,,,,1,,2.75,3.5,Grocery > Herbs & Spices,"citrus flavor, herbs, lemon myrtle, seasoning, tea",,https://cdn.madrasthemes.com/groceria/images/products/lemon-myrtle.webp,,,,,,,,,0,,Size,"10g, 25g, 50g (dried leaf)",0,0,Nutriscore,A,0,0,
170,simple,sabra-guacamole,,Sabra Guacamole,1,0,visible,Smooth and creamy dip made with fresh avocados and zesty spices.,"Smooth and creamy with chunks of ripe avocado, Sabra Guacamole blends just the right amount of zest, spice, and freshness in every scoop.",,,taxable,,1,,,0,0,,,,,1,,4.5,5.95,Deli > Dips & Spreads,"avocado, dip, guacamole, party snack, refrigerated",,https://cdn.madrasthemes.com/groceria/images/products/sabra-guacamole.webp,,,,,,,,,0,,Size,"150g, 250g, 500g",0,0,Nutriscore,B,0,0,
171,simple,polly-o-string-cheese,,Polly-o spring Cheese,1,0,visible,Classic mozzarella string cheese — fun and tasty for all ages.,"Mild, creamy mozzarella made fun — Polly-O string cheese is a peelable snack that’s wholesome, kid-friendly, and endlessly snackable.",,,taxable,,1,,,0,0,,,,,1,,3.75,4.95,Dairy > Cheese,"cheese, dairy, mozzarella, snackable, string cheese",,https://cdn.madrasthemes.com/groceria/images/products/polly-o-string-cheese.webp,,,,,,,,,0,,Size,"1 stick, 4 sticks, 8 sticks",0,0,Nutriscore,B,0,0,
172,simple,sabra-smart-snackers,,Sabra Smart Snackers,1,0,visible,Convenient snack packs pairing dips with crunchy sides.,"A convenient, grab-and-go combo of hummus and crispy pretzels. Perfect for school bags, office desks, or anytime hunger strikes smartly.",,,taxable,,1,,,0,0,,,,,1,,4,5.25,Snacks,"dip & chips, hummus, protein snack, ready-to-go, snack pack",,https://cdn.madrasthemes.com/groceria/images/products/sabra-smart-snackers.webp,,,,,,,,,0,,Size,"1 pack, 3 packs, 6 packs",0,0,Nutriscore,B,0,0,
173,simple,arils-pomegranate,,Arils Pomegranate,1,0,visible,"Juicy, ruby-red seeds bursting with sweet-tart flavor.","Jewel-like and bursting with sweet-tart juice, pomegranate arils make salads sparkle and desserts dazzle. Snack-worthy straight from the spoon.",,,taxable,,1,,,0,0,,,,,1,,5,6.5,Produce > Fruits,"antioxidant, arils, fresh, fruit snack, pomegranate",,https://cdn.madrasthemes.com/groceria/images/products/arils-pomegranate.webp,,,,,,,,,0,,Size,"150g, 250g, 400g",0,0,Nutriscore,A,0,0,
174,simple,thin-slice-whole-grain-bread,,Thin Slice Whole Grain Bread,1,0,visible,"Light, wholesome slices loaded with whole grain goodness.","Soft, hearty, and thinly sliced, this bread is loaded with whole grains for a healthier twist on everyday sandwiches and morning toast.",,,taxable,,1,,,0,0,,,,,1,,4.5,5.75,Bakery > Bread,"bread, fiber-rich, sandwich, thin sliced, whole grain",,https://cdn.madrasthemes.com/groceria/images/products/thin-slice-whole-grain-bread.webp,,,,,,,,,0,,Size,"300g, 500g, 1 loaf",0,0,Nutriscore,A,0,0,
205,simple,bread-alone,,Bread Alone,1,0,visible,"Artisan-baked, organic breads with rustic texture and taste.","Rustic, artisan loaves crafted with organic ingredients and old-world techniques. Every slice brings texture, depth, and real bakery soul.",,,taxable,,1,,,0,0,,,,,1,,4.75,5.5,Bakery > Bread,"bread, fiber-rich, sandwich, thin sliced, whole grain",,https://cdn.madrasthemes.com/groceria/images/products/bread-alone.webp,,,,,,,,,0,,Size,"300g, 500g, 1 loaf",0,0,Nutriscore,A,0,0,
206,simple,box-chocolate-cake,,Box Chocolate Cake,1,0,visible,Rich and moist cake mix for instant chocolatey indulgence.,"Rich, decadent, and easy to whip up, this boxed cake mix bakes into a moist, chocolatey dessert that tastes like it came from a bakery.",,,taxable,,1,,,0,0,,,,,1,,11.25,14.5,Bakery > Cakes & Cupcakes,"bakery treat, boxed, cake, chocolate, dessert",,https://cdn.madrasthemes.com/groceria/images/products/box-chocolate-cake.webp,,,,,,,,,0,,Size,"250g slice, 500g, 1kg",0,0,Nutriscore,E,0,0,
207,simple,italian-white-bread,,Italian White Bread,1,0,visible,Soft and fluffy loaf — great for sandwiches or toasting.,"A soft, pillowy loaf with a light crust and mild flavor — ideal for paninis, garlic bread, or soaking up rich sauces. Pure Italian comfort.",,,taxable,,1,,,0,0,,,,,1,,3.5,4.5,Grocery > Bakery > Bread,"bread, classic, italian style, soft crust, white",,https://cdn.madrasthemes.com/groceria/images/products/italian-white-bread.webp,,,,,,,,,0,,Size,"400g, 600g, 1 loaf",0,0,Nutriscore,C,0,0,
208,simple,sweet-and-salt-biscuit,,Sweet and Salt Biscut,1,0,visible,A crispy snack that perfectly balances sweet and savory.,"A delicate balance of sweet crunch and savory touch, these biscuits are perfect with tea or as a quick nibble anytime.",,,taxable,,1,,,0,0,,,,,1,,2.95,3.75,Snacks > Biscuits,"biscuit, crunchy, snack, sweet & salty, tea time",,https://cdn.madrasthemes.com/groceria/images/products/sweet-and-salt-biscuit.webp,,,,,,,,,0,,Size,"150g, 250g, 400g",0,0,Nutriscore,D,0,0,
209,simple,kleenex-trusted-care-facial-tissues,,Kleenex Trusted Care Facial Tissues,1,0,visible,"Soft, durable tissues for everyday care and comfort.","Soft, strong, and gentle on skin — Kleenex Trusted Care tissues are your everyday essential for sniffles, makeup fixes, and small cleanups.",,,taxable,,1,,,0,0,,,,,1,,5.25,6.95,Tissues → Household Essentials,"essential, facial care, kleenex, soft, tissues",,https://cdn.madrasthemes.com/groceria/images/products/kleenex-trusted-care-facial-tissues.webp,,,,,,,,,0,,Size,"80 sheets, 120 sheets, 200 sheets",0,0,,,,,
210,simple,domino-granulated-white-sugar,,Domino Granulated White Sugar,1,0,visible,"Pure, fine sugar ideal for baking and sweetening.","Pure, fine, and perfectly sweet — this all-purpose sugar is the gold standard for baking, coffee, and sweetening everything in between.",,,taxable,,1,,,0,0,,,,,1,,4.25,5.5,Grocery > Baking Essentials,"baking, pantry essential, sugar, sweetener, white sugar",,https://cdn.madrasthemes.com/groceria/images/products/domino-granulated-white-sugar.webp,,,,,,,,,0,,Size,"500g, 1kg, 2kg",0,0,Nutriscore,E,0,0,
211,simple,gluten-free-loaf-cinnamon-raisin,,"Gluten-Free Loaf, Cinnamon Raisin",1,0,visible,"Warm cinnamon flavor and sweet raisins in a soft, gluten-free loaf.","Soft and fragrant with bursts of sweet raisins and warm cinnamon, this gluten-free loaf delivers cozy comfort without compromise.",,,taxable,,1,,,0,0,,,,,1,,5.75,7.25,Bakery > Gluten-Free,"bread, breakfast, cinnamon, gluten-free, raisin, sweet loaf",,https://cdn.madrasthemes.com/groceria/images/products/gluten-free-loaf-cinnamon-raisin.webp,,,,,,,,,0,,Size,"300g, 500g, 1 loaf",0,0,Nutriscore,C,0,0,
212,simple,just-fresh-direct-100-percent-pure-honey-clover,,"Just Fresh Direct100% Pure Honey, Clover",1,0,visible,"Golden, floral honey — raw, natural, and irresistibly sweet.","Golden, silky, and floral — this raw clover honey is harvested with care and bottled for purity. Perfect for drizzling, sweetening, or spooning straight.",,,taxable,,1,,,0,0,,,,,1,,7.5,9.95,Grocery > Sweeteners,"clover, golden syrup, honey, jarred, natural sweetener, pure",,https://cdn.madrasthemes.com/groceria/images/products/just-fresh-direct-100-percent-pure-honey-clover.webp,,,,,,,,,0,,Size,"250ml, 500ml, 1L",0,0,Nutriscore,D,0,0,
213,variation,,,"Organic No Caffeine Coffee Alternative - 150g, A",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,230,,,,,,,organic-no-caffeine-coffee-alternative,,,,,,1,,Size,150g,,1,Nutriscore,A,,1,
214,variation,,,"Organic No Caffeine Coffee Alternative - 300g, A",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,330,,,,,,,organic-no-caffeine-coffee-alternative,,,,,,2,,Size,300g,,1,Nutriscore,A,,1,
215,variation,,,"Organic No Caffeine Coffee Alternative - 500g, A",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,460,,,,,,,organic-no-caffeine-coffee-alternative,,,,,,3,,Size,500g,,1,Nutriscore,A,,1,